	Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9	Factor 10
31x6	509	400	267	4486	210	204	173	526	278	275
20x25	557	287	2093	158	137	622	293	312	150	280
21x28	196	86	740	74	80	62	176	68	43	106
19x4	139	440	364	421	198	348	113	957	176	167
17x20	201	116	250	85	128	288	129	4743	107	146
22x19	402	360	3089	316	260	372	284	405	293	236
20x7	250	951	1709	238	253	523	238	664	926	425
18x19	101	176	413	128	113	960	94	275	143	114
23x26	562	267	2065	196	93	174	241	244	163	259
21x6	256	4346	390	723	454	563	334	422	411	284
32x2	765	233	1664	226	157	209	206	185	169	3792
11x22	84	140	233	111	85	93	38	185	88	72
24x14	548	183	450	121	87	141	99	213	353	194
12x17	79	100	220	92	192	240	62	430	112	98
25x15	600	375	655	372	87	168	164	278	225	141
13x20	220	298	474	263	180	1966	178	273	103	193
26x12	732	276	1187	257	190	174	228	288	184	182
29x17	1676	236	2506	224	187	279	205	176	142	171
30x14	758	322	226	183	140	95	185	166	232	185
28x10	775	198	410	123	106	120	74	159	91	70
31x15	1273	226	757	236	166	162	134	269	420	305
29x11	360	296	229	266	185	193	205	148	372	114
30x16	1808	259	863	176	173	220	169	409	228	168
19x13	201	199	1713	147	185	289	115	357	107	197
17x13	212	277	1459	238	289	719	231	702	162	306
31x21	904	241	1642	163	213	145	191	194	127	154
20x14	150	403	2165	195	206	275	146	989	248	159
18x10	253	501	531	181	193	428	133	1624	354	177
23x19	459	628	1838	246	194	207	222	320	322	225
21x15	153	278	1127	157	153	192	144	735	312	140
22x12	343	873	1385	164	205	166	135	402	248	159
23x9	484	548	585	255	231	125	381	262	279	1273
24x21	370	386	2118	329	253	201	168	296	136	157
25x16	287	385	740	311	92	117	93	223	278	140
15x13	154	263	309	174	150	529	103	1215	109	90
26x23	486	139	449	107	103	158	108	139	107	80
27x6	606	351	814	506	316	205	247	235	159	527
29x4	428	351	217	732	110	162	108	134	108	138
19x18	136	506	338	226	129	436	110	782	253	110
31x18	1245	199	1391	163	113	123	180	140	124	188
20x21	168	1050	395	323	264	1686	256	335	2704	185
18x5	35	87	145	45	38	47	21	63	39	43
21x8	204	600	1821	180	263	193	173	544	163	258
17x24	323	241	2086	164	207	247	174	574	133	334
32x16	1265	248	3206	185	248	186	298	215	242	296
22x7	461	399	2162	380	223	182	146	244	149	333
23x6	505	833	447	1811	231	334	243	286	192	565
14x19	125	149	1028	119	192	521	126	1069	92	115
25x25	139	127	917	67	129	141	103	80	139	133
24x2	2374	440	593	2172	373	334	263	892	234	522
25x3	512	192	383	300	98	104	105	249	86	179
30x2	546	387	404	206	153	169	133	181	153	4771
19x27	286	191	337	137	98	197	232	138	116	112
20x28	431	233	1940	176	167	247	618	353	241	133
16x20	125	112	293	91	198	128	112	4891	94	141
21x17	95	170	695	91	41	140	62	194	127	87
17x17	163	321	214	369	298	4416	179	605	301	155
18x22	239	4335	655	250	425	1732	423	702	363	315
32x13	1759	299	961	272	213	253	231	801	3098	718
14x26	1549	154	1386	192	150	172	217	189	131	193
15x19	147	139	752	165	108	342	112	1604	110	141
24x9	103	343	188	76	77	61	82	107	81	106
12x20	114	133	634	182	284	369	92	757	118	115
27x20	477	196	1056	168	58	112	115	113	105	152
25x4	241	102	150	183	72	111	69	98	92	186
13x25	300	318	1897	168	210	368	147	419	175	220
28x23	124	36	116	25	13	34	46	31	32	43
26x3	256	131	300	90	71	135	57	100	78	135
29x22	519	191	749	169	76	116	71	139	77	163
27x10	677	354	813	149	113	124	134	208	146	212
30x5	528	340	461	526	167	239	186	190	175	5338
28x13	470	396	500	589	248	317	4175	201	510	199
20x27	290	226	971	187	205	352	2351	280	170	226
16x11	30	47	84	28	23	90	16	192	37	27
21x26	613	204	1723	93	151	252	942	274	115	468
19x6	277	760	1333	206	152	225	229	621	292	1265
17x10	41	60	138	51	40	51	34	232	40	42
22x17	180	239	951	148	95	123	79	219	313	94
